TilausID,Tilauspäivä,AsiakasID,TuoteID,Tuote,Tuoteryhmä,Määrä,Yksikköhinta,Alennus_prosentti,Myynti,Kustannus,Kate,Kaupunki,Myyntikanava,Maksutapa
T00001,2025-04-25,A0072,P001,Langattomat kuulokkeet,Elektroniikka,2,89.90,0,179.80,94.00,85.80,Espoo,Verkkokauppa,PayPal
T00002,2025-02-02,A0309,P001,Langattomat kuulokkeet,Elektroniikka,1,89.90,0,89.90,47.00,42.90,Helsinki,Google,PayPal
T00003,2025-08-14,A0004,P008,LED-pöytävalaisin,Koti,1,44.90,10,40.41,20.00,20.41,Vantaa,Sähköposti,Verkkopankki
T00004,2025-10-12,A0053,P003,Älykello,Elektroniikka,1,129.90,10,116.91,72.00,44.91,Espoo,Sähköposti,Kortti
T00005,2026-01-03,A0023,P014,Reppu 20L,Asusteet,1,64.90,0,64.90,31.00,33.90,Kuopio,Verkkokauppa,PayPal
T00006,2025-03-22,A0442,P009,Termospullo,Koti,1,32.90,5,31.25,13.50,17.75,Oulu,Google,Kortti
T00007,2025-02-16,A0041,P011,Joogamatto,Hyvinvointi,1,39.90,0,39.90,16.00,23.90,Tampere,Verkkokauppa,PayPal
T00008,2025-10-12,A0190,P008,LED-pöytävalaisin,Koti,1,44.90,0,44.90,20.00,24.90,Oulu,Google,Verkkopankki
T00009,2025-03-15,A0126,P010,Kahvimylly,Koti,1,59.90,0,59.90,29.00,30.90,Vantaa,Sähköposti,PayPal
T00010,2025-10-04,A0351,P015,Laptop-suojatasku,Asusteet,1,34.90,0,34.90,14.00,20.90,Oulu,Verkkokauppa,MobilePay
T00011,2025-02-02,A0109,P013,Vastuskuminauhasetti,Hyvinvointi,1,24.90,0,24.90,8.50,16.40,Seinäjoki,Sosiaalinen media,MobilePay
T00012,2026-05-27,A0074,P007,Mekaaninen näppäimistö,Työpiste,2,99.90,5,189.81,104.00,85.81,Turku,Google,MobilePay
T00013,2026-07-29,A0299,P009,Termospullo,Koti,1,32.90,5,31.25,13.50,17.75,Jyväskylä,Sosiaalinen media,MobilePay
T00014,2025-05-22,A0441,P009,Termospullo,Koti,1,32.90,10,29.61,13.50,16.11,Espoo,Google,MobilePay
T00015,2026-03-09,A0240,P010,Kahvimylly,Koti,1,59.90,0,59.90,29.00,30.90,Vaasa,Sosiaalinen media,Kortti
T00016,2025-04-28,A0394,P011,Joogamatto,Hyvinvointi,2,39.90,10,71.82,32.00,39.82,Oulu,Verkkokauppa,Verkkopankki
T00017,2026-03-22,A0449,P003,Älykello,Elektroniikka,1,129.90,15,110.42,72.00,38.42,Turku,Google,Kortti
T00018,2025-11-02,A0079,P014,Reppu 20L,Asusteet,1,64.90,5,61.66,31.00,30.66,Oulu,Google,Kortti
T00019,2025-11-28,A0450,P008,LED-pöytävalaisin,Koti,1,44.90,15,38.16,20.00,18.16,Turku,Google,Kortti
T00020,2025-09-04,A0375,P015,Laptop-suojatasku,Asusteet,1,34.90,0,34.90,14.00,20.90,Kuopio,Verkkokauppa,MobilePay
T00021,2025-05-12,A0136,P011,Joogamatto,Hyvinvointi,1,39.90,0,39.90,16.00,23.90,Vaasa,Sähköposti,MobilePay
T00022,2026-07-07,A0160,P013,Vastuskuminauhasetti,Hyvinvointi,2,24.90,0,49.80,17.00,32.80,Jyväskylä,Sosiaalinen media,PayPal
T00023,2026-06-14,A0174,P008,LED-pöytävalaisin,Koti,1,44.90,0,44.90,20.00,24.90,Helsinki,Google,MobilePay
T00024,2025-01-08,A0035,P002,Bluetooth-kaiutin,Elektroniikka,2,69.90,0,139.80,70.00,69.80,Helsinki,Sosiaalinen media,Kortti
T00025,2026-06-11,A0277,P004,USB-C-laturi,Elektroniikka,1,29.90,0,29.90,11.50,18.40,Vantaa,Sähköposti,MobilePay
T00026,2026-04-30,A0338,P013,Vastuskuminauhasetti,Hyvinvointi,1,24.90,0,24.90,8.50,16.40,Jyväskylä,Sosiaalinen media,PayPal
T00027,2026-02-25,A0335,P008,LED-pöytävalaisin,Koti,2,44.90,0,89.80,40.00,49.80,Espoo,Verkkokauppa,PayPal
T00028,2025-12-14,A0098,P013,Vastuskuminauhasetti,Hyvinvointi,2,24.90,0,49.80,17.00,32.80,Vaasa,Sähköposti,MobilePay
T00029,2026-03-09,A0039,P003,Älykello,Elektroniikka,1,129.90,0,129.90,72.00,57.90,Kuopio,Verkkokauppa,Kortti
T00030,2026-07-08,A0386,P014,Reppu 20L,Asusteet,1,64.90,0,64.90,31.00,33.90,Tampere,Google,PayPal
T00031,2026-05-13,A0031,P008,LED-pöytävalaisin,Koti,1,44.90,0,44.90,20.00,24.90,Vantaa,Sähköposti,Kortti
T00032,2026-02-04,A0147,P005,Kannettavan teline,Työpiste,3,54.90,10,148.23,75.00,73.23,Jyväskylä,Sähköposti,MobilePay
T00033,2025-07-14,A0377,P005,Kannettavan teline,Työpiste,1,54.90,0,54.90,25.00,29.90,Vaasa,Verkkokauppa,Verkkopankki
T00034,2025-02-28,A0437,P001,Langattomat kuulokkeet,Elektroniikka,1,89.90,0,89.90,47.00,42.90,Vaasa,Google,Kortti
